id_MODEL,group_MODEL,algorithm_MODEL,count_MODEL,Accuracy_MODEL
121,Correct,Naive Bayes,1,F1 Score: 69%
122,Correct,Naive Bayes,1,F1 Score: 69%
123,Correct,Naive Bayes,1,F1 Score: 69%
124,Correct,Naive Bayes,1,F1 Score: 69%
125,Correct,Naive Bayes,1,F1 Score: 69%
126,Correct,Naive Bayes,1,F1 Score: 69%
127,Correct,Naive Bayes,1,F1 Score: 69%
128,Correct,Naive Bayes,1,F1 Score: 69%
129,Correct,Naive Bayes,1,F1 Score: 69%
130,Correct,Naive Bayes,1,F1 Score: 69%
131,Correct,Naive Bayes,1,F1 Score: 69%
132,Correct,Naive Bayes,1,F1 Score: 69%
133,Correct,Naive Bayes,1,F1 Score: 69%
134,Correct,Naive Bayes,1,F1 Score: 69%
135,Correct,Naive Bayes,1,F1 Score: 69%
136,Correct,Naive Bayes,1,F1 Score: 69%
137,Correct,Naive Bayes,1,F1 Score: 69%
138,Correct,Naive Bayes,1,F1 Score: 69%
139,Correct,Naive Bayes,1,F1 Score: 69%
140,Correct,Naive Bayes,1,F1 Score: 69%
141,Correct,Naive Bayes,1,F1 Score: 69%
142,Correct,Naive Bayes,1,F1 Score: 69%
143,Correct,Naive Bayes,1,F1 Score: 69%
144,Correct,Naive Bayes,1,F1 Score: 69%
145,Correct,Naive Bayes,1,F1 Score: 69%
146,Correct,Naive Bayes,1,F1 Score: 69%
147,Correct,Naive Bayes,1,F1 Score: 69%
148,Correct,Naive Bayes,1,F1 Score: 69%
149,Correct,Naive Bayes,1,F1 Score: 69%
150,Correct,Naive Bayes,1,F1 Score: 69%
151,Correct,Naive Bayes,1,F1 Score: 69%
152,Correct,Naive Bayes,1,F1 Score: 69%
153,Correct,Naive Bayes,1,F1 Score: 69%
154,Correct,Naive Bayes,1,F1 Score: 69%
155,Correct,Naive Bayes,1,F1 Score: 69%
156,Correct,Naive Bayes,1,F1 Score: 69%
157,Correct,Naive Bayes,1,F1 Score: 69%
158,Correct,Naive Bayes,1,F1 Score: 69%
159,Correct,Naive Bayes,1,F1 Score: 69%
160,Correct,Naive Bayes,1,F1 Score: 69%
161,Correct,Naive Bayes,1,F1 Score: 69%
162,Correct,Naive Bayes,1,F1 Score: 69%
163,Correct,Naive Bayes,1,F1 Score: 69%
164,Correct,Naive Bayes,1,F1 Score: 69%
165,Correct,Naive Bayes,1,F1 Score: 69%
166,Correct,Naive Bayes,1,F1 Score: 69%
167,Correct,Naive Bayes,1,F1 Score: 69%
168,Correct,Naive Bayes,1,F1 Score: 69%
169,Correct,Naive Bayes,1,F1 Score: 69%
170,Wrong,Naive Bayes,1,F1 Score: 69%
171,Wrong,Naive Bayes,1,F1 Score: 69%
172,Wrong,Naive Bayes,1,F1 Score: 69%
173,Wrong,Naive Bayes,1,F1 Score: 69%
174,Wrong,Naive Bayes,1,F1 Score: 69%
175,Wrong,Naive Bayes,1,F1 Score: 69%
176,Wrong,Naive Bayes,1,F1 Score: 69%
177,Wrong,Naive Bayes,1,F1 Score: 69%
178,Wrong,Naive Bayes,1,F1 Score: 69%
179,Wrong,Naive Bayes,1,F1 Score: 69%
180,Wrong,Naive Bayes,1,F1 Score: 69%
181,Wrong,Naive Bayes,1,F1 Score: 69%
182,Wrong,Naive Bayes,1,F1 Score: 69%
183,Wrong,Naive Bayes,1,F1 Score: 69%
184,Wrong,Naive Bayes,1,F1 Score: 69%
185,Wrong,Naive Bayes,1,F1 Score: 69%
186,Wrong,Naive Bayes,1,F1 Score: 69%
187,Wrong,Naive Bayes,1,F1 Score: 69%
188,Wrong,Naive Bayes,1,F1 Score: 69%
189,Wrong,Naive Bayes,1,F1 Score: 69%
190,Wrong,Naive Bayes,1,F1 Score: 69%
191,Wrong,Naive Bayes,1,F1 Score: 69%
192,Wrong,Naive Bayes,1,F1 Score: 69%
193,Wrong,Naive Bayes,1,F1 Score: 69%
194,Wrong,Naive Bayes,1,F1 Score: 69%
195,Wrong,Naive Bayes,1,F1 Score: 69%
196,Wrong,Naive Bayes,1,F1 Score: 69%
197,Wrong,Naive Bayes,1,F1 Score: 69%
198,Wrong,Naive Bayes,1,F1 Score: 69%
199,Wrong,Naive Bayes,1,F1 Score: 69%
200,Wrong,Naive Bayes,1,F1 Score: 69%
201,Correct,Random Forest,1,F1 Score: 68%
202,Correct,Random Forest,1,F1 Score: 68%
203,Correct,Random Forest,1,F1 Score: 68%
204,Correct,Random Forest,1,F1 Score: 68%
205,Correct,Random Forest,1,F1 Score: 68%
206,Correct,Random Forest,1,F1 Score: 68%
207,Correct,Random Forest,1,F1 Score: 68%
208,Correct,Random Forest,1,F1 Score: 68%
209,Correct,Random Forest,1,F1 Score: 68%
210,Correct,Random Forest,1,F1 Score: 68%
211,Correct,Random Forest,1,F1 Score: 68%
212,Correct,Random Forest,1,F1 Score: 68%
213,Correct,Random Forest,1,F1 Score: 68%
214,Correct,Random Forest,1,F1 Score: 68%
215,Correct,Random Forest,1,F1 Score: 68%
216,Correct,Random Forest,1,F1 Score: 68%
217,Correct,Random Forest,1,F1 Score: 68%
218,Correct,Random Forest,1,F1 Score: 68%
219,Correct,Random Forest,1,F1 Score: 68%
220,Correct,Random Forest,1,F1 Score: 68%
221,Correct,Random Forest,1,F1 Score: 68%
222,Correct,Random Forest,1,F1 Score: 68%
223,Correct,Random Forest,1,F1 Score: 68%
224,Correct,Random Forest,1,F1 Score: 68%
225,Correct,Random Forest,1,F1 Score: 68%
226,Correct,Random Forest,1,F1 Score: 68%
227,Correct,Random Forest,1,F1 Score: 68%
228,Correct,Random Forest,1,F1 Score: 68%
229,Correct,Random Forest,1,F1 Score: 68%
230,Correct,Random Forest,1,F1 Score: 68%
231,Correct,Random Forest,1,F1 Score: 68%
232,Correct,Random Forest,1,F1 Score: 68%
233,Correct,Random Forest,1,F1 Score: 68%
234,Correct,Random Forest,1,F1 Score: 68%
235,Correct,Random Forest,1,F1 Score: 68%
236,Correct,Random Forest,1,F1 Score: 68%
237,Correct,Random Forest,1,F1 Score: 68%
238,Correct,Random Forest,1,F1 Score: 68%
239,Correct,Random Forest,1,F1 Score: 68%
240,Correct,Random Forest,1,F1 Score: 68%
241,Correct,Random Forest,1,F1 Score: 68%
242,Correct,Random Forest,1,F1 Score: 68%
243,Correct,Random Forest,1,F1 Score: 68%
244,Correct,Random Forest,1,F1 Score: 68%
245,Correct,Random Forest,1,F1 Score: 68%
246,Correct,Random Forest,1,F1 Score: 68%
247,Correct,Random Forest,1,F1 Score: 68%
248,Correct,Random Forest,1,F1 Score: 68%
249,Correct,Random Forest,1,F1 Score: 68%
250,Correct,Random Forest,1,F1 Score: 68%
251,Correct,Random Forest,1,F1 Score: 68%
252,Correct,Random Forest,1,F1 Score: 68%
253,Correct,Random Forest,1,F1 Score: 68%
254,Correct,Random Forest,1,F1 Score: 68%
255,Correct,Random Forest,1,F1 Score: 68%
256,Correct,Random Forest,1,F1 Score: 68%
257,Correct,Random Forest,1,F1 Score: 68%
258,Correct,Random Forest,1,F1 Score: 68%
259,Correct,Random Forest,1,F1 Score: 68%
260,Correct,Random Forest,1,F1 Score: 68%
261,Correct,Random Forest,1,F1 Score: 68%
262,Correct,Random Forest,1,F1 Score: 68%
263,Correct,Random Forest,1,F1 Score: 68%
264,Correct,Random Forest,1,F1 Score: 68%
265,Correct,Random Forest,1,F1 Score: 68%
266,Correct,Random Forest,1,F1 Score: 68%
267,Correct,Random Forest,1,F1 Score: 68%
268,Correct,Random Forest,1,F1 Score: 68%
269,Wrong,Random Forest,1,F1 Score: 68%
270,Wrong,Random Forest,1,F1 Score: 68%
271,Wrong,Random Forest,1,F1 Score: 68%
272,Wrong,Random Forest,1,F1 Score: 68%
273,Wrong,Random Forest,1,F1 Score: 68%
274,Wrong,Random Forest,1,F1 Score: 68%
275,Wrong,Random Forest,1,F1 Score: 68%
276,Wrong,Random Forest,1,F1 Score: 68%
277,Wrong,Random Forest,1,F1 Score: 68%
278,Wrong,Random Forest,1,F1 Score: 68%
279,Wrong,Random Forest,1,F1 Score: 68%
280,Wrong,Random Forest,1,F1 Score: 68%
281,Wrong,Random Forest,1,F1 Score: 68%
282,Wrong,Random Forest,1,F1 Score: 68%
283,Wrong,Random Forest,1,F1 Score: 68%
284,Wrong,Random Forest,1,F1 Score: 68%
285,Wrong,Random Forest,1,F1 Score: 68%
286,Wrong,Random Forest,1,F1 Score: 68%
287,Wrong,Random Forest,1,F1 Score: 68%
288,Wrong,Random Forest,1,F1 Score: 68%
289,Wrong,Random Forest,1,F1 Score: 68%
290,Wrong,Random Forest,1,F1 Score: 68%
291,Wrong,Random Forest,1,F1 Score: 68%
292,Wrong,Random Forest,1,F1 Score: 68%
293,Wrong,Random Forest,1,F1 Score: 68%
294,Wrong,Random Forest,1,F1 Score: 68%
295,Wrong,Random Forest,1,F1 Score: 68%
296,Wrong,Random Forest,1,F1 Score: 68%
297,Wrong,Random Forest,1,F1 Score: 68%
298,Wrong,Random Forest,1,F1 Score: 68%
299,Wrong,Random Forest,1,F1 Score: 68%
300,Wrong,Random Forest,1,F1 Score: 68%
301,Correct,XGBoost,1,F1 Score: 90%
302,Correct,XGBoost,1,F1 Score: 90%
303,Correct,XGBoost,1,F1 Score: 90%
304,Correct,XGBoost,1,F1 Score: 90%
305,Correct,XGBoost,1,F1 Score: 90%
306,Correct,XGBoost,1,F1 Score: 90%
307,Correct,XGBoost,1,F1 Score: 90%
308,Correct,XGBoost,1,F1 Score: 90%
309,Correct,XGBoost,1,F1 Score: 90%
310,Correct,XGBoost,1,F1 Score: 90%
311,Correct,XGBoost,1,F1 Score: 90%
312,Correct,XGBoost,1,F1 Score: 90%
313,Correct,XGBoost,1,F1 Score: 90%
314,Correct,XGBoost,1,F1 Score: 90%
315,Correct,XGBoost,1,F1 Score: 90%
316,Correct,XGBoost,1,F1 Score: 90%
317,Correct,XGBoost,1,F1 Score: 90%
318,Correct,XGBoost,1,F1 Score: 90%
319,Correct,XGBoost,1,F1 Score: 90%
320,Correct,XGBoost,1,F1 Score: 90%
321,Correct,XGBoost,1,F1 Score: 90%
322,Correct,XGBoost,1,F1 Score: 90%
323,Correct,XGBoost,1,F1 Score: 90%
324,Correct,XGBoost,1,F1 Score: 90%
325,Correct,XGBoost,1,F1 Score: 90%
326,Correct,XGBoost,1,F1 Score: 90%
327,Correct,XGBoost,1,F1 Score: 90%
328,Correct,XGBoost,1,F1 Score: 90%
329,Correct,XGBoost,1,F1 Score: 90%
330,Correct,XGBoost,1,F1 Score: 90%
